clock_time,od_600nm,strain,carbon_source,date,run_no,elapsed_time_hr
2023-01-11 13:21:00,0.207,WT,glucose,2022-03-15,1,1.4666666666666666
2023-01-11 13:46:00,0.285,WT,glucose,2022-03-15,1,1.8833333333333333
2023-01-11 14:04:00,0.36,WT,glucose,2022-03-15,1,2.1833333333333336
2023-01-11 10:00:00,0.04,WT,glucose,2022-04-14,1,0.0
2023-01-11 11:00:00,0.125,WT,glucose,2022-04-14,1,1.0
2023-01-11 11:50:00,0.222,WT,glucose,2022-04-14,1,1.8333333333333333
2023-01-11 12:44:00,0.177,WT,glucose,2022-06-24,1,0.0
2023-01-11 13:12:00,0.241,WT,glucose,2022-06-24,1,0.4666666666666667
2023-01-11 13:30:00,0.333,WT,glucose,2022-06-24,1,0.7666666666666667
2023-01-11 12:44:00,0.157,WT,glucose,2022-06-25,1,0.0
2023-01-11 13:12:00,0.23,WT,glucose,2022-06-25,1,0.4666666666666667
2023-01-11 13:30:00,0.3,WT,glucose,2022-06-25,1,0.7666666666666667
2023-01-11 13:47:00,0.394,WT,glucose,2022-06-25,1,1.05
2023-01-11 03:05:00,0.042,WT,glucoseCAA,2020-07-27,1,0.0
2023-01-11 03:20:00,0.051,WT,glucoseCAA,2020-07-27,1,0.25
2023-01-11 03:35:00,0.07,WT,glucoseCAA,2020-07-27,1,0.5
2023-01-11 03:51:00,0.091,WT,glucoseCAA,2020-07-27,1,0.7666666666666667
2023-01-11 04:01:00,0.112,WT,glucoseCAA,2020-07-27,1,0.9333333333333333
2023-01-11 04:13:00,0.147,WT,glucoseCAA,2020-07-27,1,1.1333333333333335
2023-01-11 04:30:00,0.218,WT,glucoseCAA,2020-07-27,1,1.4166666666666667
2023-01-11 04:45:00,0.314,WT,glucoseCAA,2020-07-27,1,1.6666666666666667
2023-01-11 13:05:00,0.067,WT,glucoseCAA,2020-08-03,1,0.0
2023-01-11 13:18:00,0.096,WT,glucoseCAA,2020-08-03,1,0.21666666666666667
2023-01-11 13:32:00,0.12,WT,glucoseCAA,2020-08-03,1,0.45
2023-01-11 13:58:00,0.194,WT,glucoseCAA,2020-08-03,1,0.8833333333333333
2023-01-11 14:05:00,0.227,WT,glucoseCAA,2020-08-03,1,1.0
2023-01-11 14:09:00,0.244,WT,glucoseCAA,2020-08-03,1,1.0666666666666669
2023-01-11 14:18:00,0.294,WT,glucoseCAA,2020-08-03,1,1.2166666666666666
2023-01-11 14:30:00,0.376,WT,glucoseCAA,2020-08-03,1,1.4166666666666667
2023-01-11 12:20:00,0.042,WT,glucoseCAA,2020-08-04,1,0.0
2023-01-11 13:03:00,0.097,WT,glucoseCAA,2020-08-04,1,0.7166666666666667
2023-01-11 13:26:00,0.157,WT,glucoseCAA,2020-08-04,1,1.1
2023-01-11 13:50:00,0.237,WT,glucoseCAA,2020-08-04,1,1.5
2023-01-11 13:55:00,0.251,WT,glucoseCAA,2020-08-04,1,1.5833333333333333
2023-01-11 14:10:00,0.308,WT,glucoseCAA,2020-08-04,1,1.8333333333333333
2023-01-11 14:42:00,0.055,WT,glucoseCAA,2020-09-13,1,0.0
2023-01-11 15:05:00,0.099,WT,glucoseCAA,2020-09-13,1,0.38333333333333336
2023-01-11 15:18:00,0.113,WT,glucoseCAA,2020-09-13,1,0.6
2023-01-11 15:28:00,0.136,WT,glucoseCAA,2020-09-13,1,0.7666666666666667
2023-01-11 15:43:00,0.19,WT,glucoseCAA,2020-09-13,1,1.0166666666666668
2023-01-11 15:55:00,0.247,WT,glucoseCAA,2020-09-13,1,1.2166666666666666
2023-01-11 16:07:00,0.315,WT,glucoseCAA,2020-09-13,1,1.4166666666666667
2023-01-11 16:14:00,0.364,WT,glucoseCAA,2020-09-13,1,1.5333333333333334
2023-01-11 12:30:00,0.064,WT,glucoseCAA,2021-09-02,1,0.0
2023-01-11 12:49:00,0.098,WT,glucoseCAA,2021-09-02,1,0.31666666666666665
2023-01-11 13:20:00,0.188,WT,glucoseCAA,2021-09-02,1,0.8333333333333334
2023-01-11 13:40:00,0.267,WT,glucoseCAA,2021-09-02,1,1.1666666666666667
2023-01-11 12:30:00,0.064,WT,glucoseCAA,2021-09-14,1,0.0
2023-01-11 12:49:00,0.098,WT,glucoseCAA,2021-09-14,1,0.31666666666666665
2023-01-11 13:20:00,0.188,WT,glucoseCAA,2021-09-14,1,0.8333333333333334
2023-01-11 13:40:00,0.267,WT,glucoseCAA,2021-09-14,1,1.1666666666666667
2023-01-11 13:20:00,0.087,WT,glucoseCAA,2022-03-14,1,0.0
2023-01-11 13:34:00,0.12,WT,glucoseCAA,2022-03-14,1,0.23333333333333334
